COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

REGISTRO DIARIO HISTÓRICO
EMISIÓN   : 17/04/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: APRIL DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 1001 
 NOMBRE    : AGUASCALIENTES (OBS) 
 ESTADO    : AGUASCALIENTES 
 MUNICIPIO : AGUASCALIENTES 
 SITUACIÓN : OPERANDO 
 CVE-OMM   : 76571 
 LATITUD   : 21.85027778 ° 
 LONGITUD  : -102.2908333 ° 
 ALTITUD   : 1890.8 msnm 




FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1878-01-01	0	NULO	20.2	9.8
1878-01-02	0	NULO	20.2	19
1878-01-03	0	NULO	20	11
1878-01-04	0	NULO	19.9	8.1
1878-01-05	0	NULO	19.6	9.8
1878-01-06	0	NULO	NULO	NULO
1878-01-07	0	NULO	NULO	NULO
1878-01-08	0	NULO	NULO	NULO
1878-01-09	0	NULO	NULO	NULO
1878-01-10	0	NULO	NULO	NULO
1878-01-11	0	NULO	NULO	NULO
1878-01-12	0	NULO	NULO	NULO
1878-01-13	0	NULO	NULO	NULO
1878-01-14	0	NULO	NULO	NULO
1878-01-15	0	NULO	NULO	NULO
